Date : 2025-11-24 11:58:06
Directory : d:\Aldhaf\hr_odoo
Total : 195 files,  14941 codes, 987 comments, 1679 blanks, all 17607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        141 |     12,773 |        785 |      1,264 |     14,822 |
| lib\shared\util\responsive                                                                              |          1 |         30 |          0 |          8 |         38 |
| lib\shared\util\show_loading                                                                            |          1 |         51 |          0 |          3 |         54 |
| lib\shared\util\show_snackbar                                                                           |          1 |        839 |          0 |         25 |        864 |
| lib\shared\util\string_extension                                                                        |          1 |          5 |          0 |          1 |          6 |
| lib\shared\util\url_launcher                                                                            |          1 |         12 |          0 |          2 |         14 |
| lib\shared\util\validator                                                                               |          1 |         52 |          0 |         10 |         62 |
| lib\shared\widget                                                                                       |         28 |      3,551 |         10 |        303 |      3,864 |
| lib\shared\widget (Files)                                                                               |          1 |         91 |          6 |          8 |        105 |
| lib\shared\widget\form                                                                                  |         24 |      2,874 |          4 |        259 |      3,137 |
| lib\shared\widget\form\autocomplete                                                                     |          1 |        191 |          0 |         10 |        201 |
| lib\shared\widget\form\button                                                                           |          7 |        310 |          0 |         23 |        333 |
| lib\shared\widget\form\category_picker                                                                  |          1 |        147 |          0 |         12 |        159 |
| lib\shared\widget\form\check_field                                                                      |          1 |         96 |          0 |         13 |        109 |
| lib\shared\widget\form\date_picker                                                                      |          1 |         94 |          0 |          9 |        103 |
| lib\shared\widget\form\dropdown                                                                         |          1 |        159 |          0 |         13 |        172 |
| lib\shared\widget\form\image_picker                                                                     |          1 |        240 |          0 |         22 |        262 |
| lib\shared\widget\form\list                                                                             |          1 |        236 |          0 |         23 |        259 |
| lib\shared\widget\form\location_picker                                                                  |          3 |        761 |          0 |         62 |        823 |
| lib\shared\widget\form\memo_field                                                                       |          1 |         70 |          4 |          6 |         80 |
| lib\shared\widget\form\number_field                                                                     |          1 |         91 |          0 |         15 |        106 |
| lib\shared\widget\form\radio                                                                            |          1 |         88 |          0 |          9 |         97 |
| lib\shared\widget\form\rating                                                                           |          1 |        118 |          0 |          9 |        127 |
| lib\shared\widget\form\switch                                                                           |          1 |         76 |          0 |         10 |         86 |
| lib\shared\widget\form\textfield                                                                        |          1 |         95 |          0 |         14 |        109 |
| lib\shared\widget\form\time_picker                                                                      |          1 |        102 |          0 |          9 |        111 |
| lib\shared\widget\list                                                                                  |          1 |        236 |          0 |         23 |        259 |
| lib\shared\widget\typography                                                                            |          1 |        130 |          0 |          9 |        139 |
| lib\shared\widget\widget_demo                                                                           |          1 |        220 |          0 |          4 |        224 |
| web                                                                                                     |          2 |        133 |         16 |         19 |        168 |
| windows                                                                                                 |         14 |        694 |         94 |        186 |        974 |
| windows (Files)                                                                                         |          1 |         84 |          0 |         19 |        103 |
| windows\flutter                                                                                         |          4 |        148 |          9 |         28 |        185 |
| windows\runner                                                                                          |          9 |        462 |         85 |        139 |        686 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Aldhaf\hr_odoo\README.md                                                                             | Markdown   |         87 |          0 |         25 |        112 |
| d:\Aldhaf\hr_odoo\analysis_options.yaml                                                                 | YAML       |          5 |         22 |          4 |         31 |
| d:\Aldhaf\hr_odoo\android\app\build.gradle                                                              | Gradle     |         72 |          0 |         13 |         85 |
| d:\Aldhaf\hr_odoo\android\app\src\debug\AndroidManifest.xml                                             | XML        |          3 |          4 |          1 |          8 |
| d:\Aldhaf\hr_odoo\android\app\src\main\AndroidManifest.xml                                              | XML        |         42 |          6 |          1 |         49 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\drawable-v21\launch_background.xml                           | XML        |          9 |          0 |          1 |         10 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\drawable\launch_background.xml                               | XML        |          9 |          0 |          1 |         10 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                            | XML        |          5 |          0 |          1 |          6 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\values-night-v31\styles.xml                                  | XML        |         14 |          7 |          1 |         22 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\values-night\styles.xml                                      | XML        |         13 |          9 |          1 |         23 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\values-v31\styles.xml                                        | XML        |         14 |          7 |          1 |         22 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\values\colors.xml                                            | XML        |          4 |          0 |          0 |          4 |
| d:\Aldhaf\hr_odoo\android\app\src\main\res\values\styles.xml                                            | XML        |         13 |          9 |          1 |         23 |
| d:\Aldhaf\hr_odoo\android\app\src\profile\AndroidManifest.xml                                           | XML        |          3 |          4 |          1 |          8 |
| d:\Aldhaf\hr_odoo\android\build\reports\problems\problems-report.html                                   | HTML       |        548 |          2 |        114 |        664 |
| d:\Aldhaf\hr_odoo\android\gradle.properties                                                             | Properties |          7 |          0 |          0 |          7 |
| d:\Aldhaf\hr_odoo\android\gradle\wrapper\gradle-wrapper.properties                                      | Properties |          5 |          0 |          1 |          6 |
| d:\Aldhaf\hr_odoo\assets\animations\loading.json                                                        | JSON       |          1 |          0 |          0 |          1 |
| d:\Aldhaf\hr_odoo\config.json                                                                           | JSON       |         12 |          0 |          0 |         12 |
| d:\Aldhaf\hr_odoo\devtools_options.yaml                                                                 | YAML       |          3 |          0 |          1 |          4 |
| d:\Aldhaf\hr_odoo\firebase.json                                                                         | JSON       |          1 |          0 |          0 |          1 |
| d:\Aldhaf\hr_odoo\firestore.indexes.json                                                                | JSON       |          4 |          0 |          0 |          4 |
| d:\Aldhaf\hr_odoo\ios\Flutter\AppFrameworkInfo.plist                                                    | XML        |         26 |          0 |          1 |         27 |
| d:\Aldhaf\hr_odoo\ios\Podfile                                                                           | Ruby       |         31 |          3 |         10 |         44 |
| d:\Aldhaf\hr_odoo\ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist        | XML        |          8 |          0 |          1 |          9 |
| d:\Aldhaf\hr_odoo\ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist                          | XML        |          8 |          0 |          1 |          9 |
| d:\Aldhaf\hr_odoo\ios\RunnerTests\RunnerTests.swift                                                     | Swift      |          7 |          2 |          4 |         13 |
| d:\Aldhaf\hr_odoo\ios\Runner\AppDelegate.swift                                                          | Swift      |         12 |          0 |          2 |         14 |
| d:\Aldhaf\hr_odoo\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                           | JSON       |        122 |          0 |          1 |        123 |
| d:\Aldhaf\hr_odoo\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json                    | JSON       |         21 |          0 |          1 |         22 |
| d:\Aldhaf\hr_odoo\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                         | JSON       |         23 |          0 |          1 |         24 |
| d:\Aldhaf\hr_odoo\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                             | Markdown   |          3 |          0 |          2 |          5 |
| d:\Aldhaf\hr_odoo\ios\Runner\Base.lproj\LaunchScreen.storyboard                                         | XML        |         43 |          1 |          1 |         45 |
| d:\Aldhaf\hr_odoo\ios\Runner\Base.lproj\Main.storyboard                                                 | XML        |         25 |          1 |          1 |         27 |
| d:\Aldhaf\hr_odoo\ios\Runner\Info.plist                                                                 | XML        |         57 |          0 |          1 |         58 |
| d:\Aldhaf\hr_odoo\ios\Runner\Runner-Bridging-Header.h                                                   | C++        |          1 |          0 |          1 |          2 |
| d:\Aldhaf\hr_odoo\lib\config.dart                                                                       | Dart       |          4 |          0 |          1 |          5 |
| d:\Aldhaf\hr_odoo\lib\config\env_dev.dart                                                               | Dart       |          5 |          2 |          1 |          8 |
| d:\Aldhaf\hr_odoo\lib\config\env_prod.dart                                                              | Dart       |          5 |          1 |          1 |          7 |
| d:\Aldhaf\hr_odoo\lib\config\env_staging.dart                                                           | Dart       |          5 |          1 |          1 |          7 |
| d:\Aldhaf\hr_odoo\lib\core.dart                                                                         | Dart       |         78 |          5 |          1 |         84 |
| d:\Aldhaf\hr_odoo\lib\core\data_state.dart                                                              | Dart       |         14 |          7 |          3 |         24 |
| d:\Aldhaf\hr_odoo\lib\core_package.dart                                                                 | Dart       |         14 |          0 |          1 |         15 |
| d:\Aldhaf\hr_odoo\lib\demo.dart                                                                         | Dart       |         25 |          0 |          4 |         29 |
| d:\Aldhaf\hr_odoo\lib\env.dart                                                                          | Dart       |          4 |          4 |          2 |         10 |
| d:\Aldhaf\hr_odoo\lib\firebase_options.dart                                                             | Dart       |         53 |         12 |          4 |         69 |
| d:\Aldhaf\hr_odoo\lib\main.backup.dart                                                                  | Dart       |         27 |          0 |          5 |         32 |
| d:\Aldhaf\hr_odoo\lib\main.dart                                                                         | Dart       |        157 |         57 |         23 |        237 |
| d:\Aldhaf\hr_odoo\lib\main_dev.dart                                                                     | Dart       |          5 |          1 |          1 |          7 |
| d:\Aldhaf\hr_odoo\lib\main_prod.dart                                                                    | Dart       |          5 |          1 |          1 |          7 |
| d:\Aldhaf\hr_odoo\lib\main_staging.dart                                                                 | Dart       |          5 |          1 |          1 |          7 |
| d:\Aldhaf\hr_odoo\lib\model\work_profile_model.dart                                                     | Dart       |         84 |          0 |         14 |         98 |
| d:\Aldhaf\hr_odoo\lib\module\about_app\bindings\about_app_binding.dart                                  | Dart       |          8 |          0 |          2 |         10 |
| d:\Aldhaf\hr_odoo\lib\module\about_app\controller\about_app_controller.dart                             | Dart       |         14 |          0 |          3 |         17 |
